original row	URL hash	original classification task	classification outcome	labels from human annotation	human annotation for training vs. eval	used original human annotation	approach to training data	original human annotation source	prescreening for crowdwork	annotator compensation	training for human annotators	formal instructions	multiple annotator overlap	synthesis of annotator overlap	reported inter-annotator agreement	total num of human annotators	median num of annotators per item	link to dataset available	Corpus	Year	Document Type	Cited by	Access Type	label source score	score	max score	norm score
2	4e6ec7fb47f277e38f25e35238ca9685ab97c6f0caae10ee0d4bc7f617c8eeb8	yes	Linguistic	Yes for all items	HA for training data	Only external	External human-labeled data	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Soc Sci & Humanities	2017	Conference Paper	0		1.0			
3	2421ef5ad32c44fd217fa11cae35504247a6e2b7a3f94eca9604bfbac53cc079	yes	Linguistic	Yes for some items	HA for training data	Only external	External human-labeled data	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Soc Sci & Humanities	2013	Article	34		1.0			
4	1e0bdeb7f8a0fdd7bc3ee02ca01673f4a5433241095be92de31e1e27e887641d	yes	Medical	No information (implicit)	HA for training data	Only external	External human-labeled data	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Soc Sci & Humanities	2017	Conference Paper	5		0.0			
5	3714e16720b27a5a102dde1dd7cfe0201d52a65e4f486f5b4b0d5c485abfd11e	yes	Medical	Yes for all items	HA for training data	Only original	Original human-labeled dataset	Survey/self-reported	N/A	No information	some training details	Instructions w/ formal definition or examples	No	N/A	N/A	10	1	no	Soc Sci & Humanities	2018	Article	3		1.0	9.0	11.0	0.8181818181818182
6	29bab7d76596226416eead7306f540340a0cab99338ec162fc00ae901b7b5477	yes	Demographic	Yes for all items	HA for training data	Only external	External human-labeled data	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Soc Sci & Humanities	2018	Conference Paper	1		1.0			
7	277aa55a4655c0cd870402151f986b62af96962b259dea722f1f13f1689f1ea1	no	N/A	N/A	N/A	N/A	No ML classifier / N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Soc Sci & Humanities	2018	Conference Paper	0					
8	3687a6240c128eb6a3c182c81c83f900e870a26c46ea89e740c14fda597fdfda	no	N/A	N/A	N/A	N/A	No ML classifier / N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Soc Sci & Humanities	2017	Conference Paper	1					
9	cd6fa771c481e908d73aaf15d24b1ebaf1900836fffb89a0b0544cb4f921cdf2	yes	Linguistic	Yes for some items	HA for evaluation only	Only external	External human-labeled data	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Soc Sci & Humanities	2016	Conference Paper	1		1.0			
10	716acfb77b311d94d3a24d9f1e34babd06d7aff0c435b7bf84ee0d5eb84c320b	no	N/A	N/A	N/A	N/A	No ML classifier / N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Soc Sci & Humanities	2017	Conference Paper	8					
11	79fe9ff7887d12fbcda83f9cb8befe1d1e6296e11713ff89428f0a0bd9a1c690	no	N/A	N/A	N/A	N/A	No ML classifier / N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Soc Sci & Humanities	2018	Article	1					
